genus_and_species,superkingdom,phylum,class,order,family,genus,Tmin,Topt_ave,Tmax,gc_count,gc_percentage,genome_size,accession,coding_bases,coding_density,ncbi_biosample,ncbi_country,ncbi_isolation_source,ncbi_lat_lon,gtdb_representative,ncbi_ncrna_count,ncbi_organism_name,ncbi_protein_count,ncbi_rrna_count,ncbi_trna_count,protein_count,trna_aa_count,trna_count,checkm2_completeness,checkm2_contamination
Halorubrum persicum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,20,37,45,2357382,65.88603758165597,3578349,RS_GCF_002727125.1,3053296,85.32694826580638,SAMN02716034,Iran: Aran-Bidgol,endorheic salt-lake,none,TRUE,0,Halorubrum persicum,3477,3,49,3582,19,49,97.65,1.24
Halorubrum rubrum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,20,37,50,2189313,67.84038438834477,3227153,RS_GCF_024494685.1,2801194,86.80078075009149,SAMN29911663,China: Shanxi; Yuncheng,salt lake,none,TRUE,0,Halorubrum rubrum,none,5,50,3193,19,50,98.08,0.76
Halorubrum saccharovorum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,30,50,56,2182232,66.48336432209258,3282373,RS_GCF_000700025.1,2693673,82.06480494447158,SAMN02803665,Russia: South of Western Siberia,salt lake sediments,54.23 N 78.22 E,FALSE,0,Halorubrum saccharovorum,3307,4,47,3823,19,47,75.98,0.86
Halorubrum salinum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,25,30,45,1831021,67.1310055163382,2727534,RS_GCF_024494575.1,2408711,88.31094314498004,SAMN29911665,China: Shandong; Gangxi,marine solar saltern,none,TRUE,0,Halorubrum salinum,none,4,49,2749,19,49,99.86,3.23
Halorubrum salsamenti,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,25,42,50,2424518,65.97485871770536,3674958,RS_GCF_007671685.1,3153333,85.80596023138223,SAMN11867824,China: Yunnan,brine of salt mine,25.28 N 101.90 E,TRUE,0,Halorubrum salsamenti,none,3,49,3597,19,49,99.96,2.72
Halorubrum sodomense,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,20,40,50,2091783,69.02382856028481,3030553,RS_GCF_900111935.1,2637104,87.01725394672194,SAMN04487937,none,none,31.448584 N 35.403503 E,TRUE,0,Halorubrum sodomense,2958,7,48,3024,19,48,99.76,0.14
Halorubrum tebenquichense,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,35,40,50,2264681,68.03354751648581,3328860,RS_GCF_000337415.1,2844313,85.44405592304874,SAMN02471631,none,none,none,TRUE,0,Halorubrum tebenquichense DSM 14210,3242,5,50,3354,19,50,99.71,1.12
Halorubrum terrestre,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,28,41,50,2186313,68.15338863379189,3207930,RS_GCF_009856455.1,2741709,85.46660930880661,SAMN13191865,Puerto Rico: Cabo Rojo Salterns,Cabo salt,none,FALSE,0,Halorubrum terrestre,none,5,50,3135,19,50,99.34,0.36
Halorubrum vacuolatum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,20,40,50,2187388,62.89465360882842,3477860,RS_GCF_900188065.1,3014010,86.66277538486311,SAMN06264855,none,none,none,TRUE,0,Halorubrum vacuolatum,3272,5,59,3377,19,58,98.35,2.47
Halorubrum xinjiangense,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,10,40,54,2226046,68.25652639719081,3261379,RS_GCF_900102375.1,2786877,85.45087829412037,SAMN04488067,none,none,none,TRUE,0,Halorubrum xinjiangense,none,9,50,3139,19,50,99.93,0.71
Halorubrum yunnanense,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,25,43.5,50,2131577,67.18588463419923,3174263,RS_GCF_026586675.1,2648613,83.44025054004662,SAMN30884439,China: Yunnan,Salt rock,none,TRUE,0,Halorubrum yunnanense,none,9,48,3141,19,49,99.36,0.39
Halorussus amylolyticus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halorussus,25,37,50,2442355,64.63122028077416,3779259,RS_GCF_004143485.2,3249171,85.9737583478666,SAMN10601653,China: Shanxi Province; Yuncheng Salt Lake,inland salt lake,none,TRUE,0,Halorussus amylolyticus,none,9,50,3858,19,49,99.88,0.99
Halorussus rarus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halorussus,25,37,50,2975944,68.06549689090812,4372177,RS_GCF_003369835.1,3760232,86.00365447236011,SAMN09702118,China,marine solar saltern,none,TRUE,0,Halorussus rarus,none,7,48,4306,19,47,99.98,4.31
Halorussus ruber,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halorussus,25,37,50,2771271,64.17553615837093,4318307,RS_GCF_004765785.1,3608866,83.57131625889498,SAMN10721380,China: Yuncheng salt lake in Shanxi,an inland salt lake,none,TRUE,0,Halorussus ruber,none,7,51,4337,19,50,99.97,4.29
Halorussus salinus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halorussus,20,37,50,3095014,65.11450107054489,4753237,RS_GCF_004765815.2,4068505,85.59440650655543,SAMN10721319,China: Yangjiang marine solar saltern; Guangdong Province,a marine solar saltern,none,TRUE,0,Halorussus salinus,none,3,48,4724,19,47,100,4.08
Halosiccatus urmianus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halosiccatus,25,45,55,2863989,67.31347233556083,4254704,RS_GCF_020217425.1,3571301,83.93770753500127,SAMN21591356,Iran: Urmia salt lake,salt lake,none,TRUE,0,Halomicrobium urmianum,none,12,51,4243,19,52,99.31,1.71
Halosimplex carlsbadense,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halosimplex,22,38.5,50,3177201,67.67476589569459,4694889,RS_GCF_000337455.1,4048203,86.22574463421819,SAMN02471654,none,none,none,TRUE,0,Halosimplex carlsbadense 2-9-1,4407,10,47,4581,19,47,99.99,5.3
Halosimplex litoreum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halosimplex,25,40,50,2846756,68.46374345275873,4158049,RS_GCF_016065055.1,3609539,86.80847676398234,SAMN17013084,China:Hainan,deposit sediment,none,TRUE,0,Halosimplex litoreum,none,6,47,4056,19,47,99.67,1.89
Halosimplex pelagicum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halosimplex,25,42,45,3486209,67.05497620614302,5199031,RS_GCF_013415905.1,4459249,85.77077151492269,SAMN15472364,China:Liaoning,the red brine of salted Laminaria,none,TRUE,0,Halosimplex pelagicum,none,6,64,5131,19,62,99.96,6.45
Halosimplex rubrum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halosimplex,25,42,45,3035810,67.76139265073222,4480147,RS_GCF_013415885.1,3863101,86.22710370887384,SAMN15472373,China:Liaoning,the red brine of salted Laminaria,none,TRUE,0,Halosimplex rubrum,none,6,61,4418,19,61,100,1.08
Halostagnicola kamekurae,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halostagnicola,20,30,45,2524496,61.450965605661146,4108147,RS_GCF_900116205.1,3398230,82.71928925620237,SAMN04488556,none,none,none,TRUE,0,Halostagnicola kamekurae,4042,9,47,4148,19,46,99.94,0.58
Halostagnicola larsenii,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halostagnicola,25,37,50,2515796,60.8978169896417,4131176,RS_GCF_000517625.1,3488128,84.43426278618969,SAMN00117518,China: Lake Xilinhot; Inner Mongolia,sediment of saline lake,43.916 N 115.616 E,TRUE,0,Halostagnicola larsenii XH-48,3966,6,47,4092,19,46,99.95,0.47
Halostella litorea,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halostella,20,37,50,2563710,68.45281801719632,3745232,RS_GCF_004785955.1,3310268,88.38619343207577,SAMN10986238,China: Dalian; Liaoning Province,isolated from salted brown alga,none,TRUE,0,Halostella litorea,none,6,50,3880,19,49,99.64,0.84
Halostella pelagica,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halostella,20,37,50,2486217,63.06275617008615,3942449,GB_GCA_005954745.1,3403018,86.3173626342408,SAMN11866221,China:Dalian; Liaoning Province,isolated from salted brown alga Laminaria,none,TRUE,none,Halostella pelagica,none,none,none,3970,19,49,99.82,0.43
Halostella salina,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halostella,20,40,50,2511567,67.23464573252755,3735525,RS_GCF_003675855.1,3300255,88.34782259521754,SAMN10220147,South Korea,solar salt,none,TRUE,0,Halostella salina,none,7,49,3846,19,48,99.01,0.14
Haloterrigena daqingensis,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Haloterrigena,20,35,50,2353360,61.35258496541526,3835796,RS_GCF_001971705.1,3289322,85.75330909151582,SAMN05417698,none,none,none,TRUE,0,Natronorubrum daqingense,3692,6,46,3810,19,46,99.94,0.81
Haloterrigena hispanica,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Haloterrigena,37,50,60,2415990,61.04067710965134,3963480,RS_GCF_900111485.1,3333591,84.1076781010627,SAMN04488694,none,none,none,TRUE,0,Natrinema hispanicum,3958,7,50,4146,19,50,100,3.6
Haloterrigena longa,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Haloterrigena,30,43,56,2312949,64.44776272446455,3588874,RS_GCF_017352095.1,3044712,84.83752842813651,SAMN18137902,China,Salt lake,none,TRUE,0,Natrinema longum,none,10,49,3555,19,50,99.83,0.11
Haloterrigena mahii,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Haloterrigena,35,50,55,2470177,65.1120756848601,3794337,GB_GCA_000690595.2,3186669,83.98487008402259,SAMN02390968,USA: Chula Vista; CA,solar saltern,none,TRUE,0,Natrinema mahii,none,7,48,3789,19,49,99.67,0.7
Haloterrigena saccharevitans,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Haloterrigena,24,43.5,58,2597513,65.25404610743664,3980616,RS_GCF_001953745.1,3329932,83.65368576119877,SAMN04868784,China: Aibi salt lake; Xin-Jiang,salt lake,none,TRUE,0,Natrinema saccharevitans,3921,17,51,4012,19,51,99.99,1.27
Haloterrigena salina,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Haloterrigena,25,37,50,3155120,65.16949828211061,4841607,RS_GCF_000337495.1,4038374,83.40978522213803,SAMN02471629,none,none,none,TRUE,0,Haloterrigena salina JCM 13891,4540,11,53,4652,19,52,99.3,2.84
Haloterrigena thermotolerans,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Haloterrigena,25,50,60,2885968,65.11450555634148,4432143,RS_GCF_031165565.1,3783286,85.36019708750372,SAMN29933361,China:Wuhan,salt-fermented food,none,FALSE,0,Natrinema thermotolerans,none,13,58,4536,19,59,99.9,11.27
Haloterrigena turkmenica,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Haloterrigena,29,51,57,3496479,64.26427304016225,5440782,RS_GCF_000025325.1,4468249,82.12512466038889,SAMN02598471,none,none,none,TRUE,0,Haloterrigena turkmenica DSM 5511,5168,10,50,5224,19,50,99.99,1.2
Halovarius luteus,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halovarius,25,45,50,2908471,63.06801351882908,4611642,RS_GCF_023008545.1,3904395,84.66387893943198,SAMN27400904,Iran: Urmia lake,brine,none,TRUE,0,Natribaculum luteum,none,10,56,4624,19,55,99.99,1.7
Halovenus aranensis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halovenus,25,40,50,2005845,61.073465852087885,3287116,RS_GCF_900100385.1,2951568,89.79202437638344,SAMN05216226,none,none,none,TRUE,0,Halovenus aranensis,3253,7,54,3369,19,55,99.68,2.17
Halovenus rubra,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halovenus,25,42,50,1973068,55.19128449721018,3574973,RS_GCF_026586665.1,3147023,88.02928022113734,SAMN30884598,China: Dalian,the red brine of salted Laminaria,none,TRUE,0,Halovenus rubra,none,10,48,3515,19,47,98.66,0.92
Halovenus salina,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halovenus,20,37,40,2259379,59.93154254996044,3769933,RS_GCF_026410925.1,3332554,88.39822882793938,SAMN31779816,Spain: Huelva,Isla Bacuta saltern,none,TRUE,0,Halovenus salina,none,3,50,3814,19,48,99.93,6.84
Halovivax asiaticus,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halovivax,25,37,45,2087307,64.45440745251393,3238452,RS_GCF_000337515.1,2775474,85.7037251131096,SAMN02471651,none,none,none,TRUE,0,Halovivax asiaticus JCM 14624,3115,3,45,3215,18,45,99.34,0.37
Halovivax cerinus,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halovivax,30,40,50,2535137,64.95759279914174,3902757,RS_GCF_024498195.1,3302846,84.62853311133642,SAMN29883696,Iran: Aran-Bidgol,a mud sample of the Aran- Bidgol salt lake in Iran,none,TRUE,0,Halovivax cerinus,none,3,45,3704,18,45,99.91,0.41
Halovivax limisalsi,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halovivax,25,35,45,2602948,66.83103887497724,3894819,RS_GCF_023093535.1,3285052,84.344150524068,SAMN27554405,Iran: Aran-Bidgol,a saline mud sample,none,TRUE,0,Halovivax limisalsi,none,3,45,3604,18,44,99.21,1.23
Halovivax ruber,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halovivax,25,37,45,2074114,64.33603525693916,3223876,RS_GCF_000328525.1,2760605,85.62999941685102,SAMN02232030,China,saline lake,43.916667 N 115.616667 E,TRUE,0,Halovivax ruber XH-70,none,6,46,3132,18,46,99.89,0.7
Hyperthermus butylicus,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus,72,100.5,108,895879,53.736737199661945,1667163,RS_GCF_000015145.1,1420520,85.20582570510501,SAMN02604082,none,none,none,TRUE,0,Hyperthermus butylicus DSM 5456,1720,3,46,1828,19,46,99.99,0.58
Ignicoccus hospitalis,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus,73,90,98,733373,56.52034853699853,1297538,RS_GCF_000017945.1,1201897,92.6290405367704,SAMN02598324,none,none,none,TRUE,0,Ignicoccus hospitalis KIN4/I,1457,4,47,1490,19,47,99.93,0.21
Ignicoccus islandicus,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus,70,90,98,626210,44.90042045969495,1394664,RS_GCF_001481685.1,1269557,91.02959565888273,SAMN04316368,none,none,none,TRUE,0,Ignicoccus islandicus DSM 13165,1483,4,45,1544,19,46,99.83,0.14
Ignicoccus pacificus,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus,75,90,98,811819,48.177539394809784,1685057,GB_GCA_025340205.1,1531515,90.88802337250311,SAMN04316367,none,none,none,TRUE,0,Ignicoccus pacificus DSM 13166,none,2,48,1906,19,47,99.9,0.28
Ignisphaera aggregans,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignisphaera,85,93.5,98,503029,45.41091803305327,1107727,GB_GCA_015662595.1,1001052,90.36991966432164,SAMN09926488,Atlantic Ocean: Mid Cayman Rise,Mid-Cayman Rise Vent Fluids,18.3752 N 81.7971 W,TRUE,0,Ignisphaera aggregans,none,1,45,1306,18,46,80.55,0.11
Metallosphaera cuprina,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,55,65,75,772846,41.994557551071864,1840348,RS_GCF_000204925.1,1637856,88.99708098685683,SAMN02603221,China: Yunnan province,sulfuric hot spring,none,TRUE,0,Metallosphaera cuprina Ar-4,1918,3,46,1992,19,46,99.88,0.03
Metallosphaera hakonensis,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,50,70,80,1112621,43.73312527145982,2544115,RS_GCF_003201675.2,2111130,82.98091870847033,SAMN09071531,Japan: Hakone National Park; Ohwakudani Area; Kanagawa,hot spring,none,TRUE,0,Metallosphaera hakonensis JCM 8857 = DSM 7519,2571,3,46,2723,19,46,100,0.47
Metallosphaera prunae,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,55,75,80,1017563,46.198769077661794,2202576,RS_GCF_005222525.1,1963542,89.1475254429359,SAMN09071532,Germany:Ronneburg,Slag heap at uranium mining site,none,FALSE,0,Metallosphaera prunae,none,3,46,2404,19,47,100,0.79
Metallosphaera sedula,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,50,75,80,1012015,46.21942575498222,2191492,RS_GCF_000747605.1,1946765,88.8328590750046,SAMN02866348,USA,lab,none,FALSE,0,Metallosphaera sedula,2323,3,46,2386,19,47,99.99,0.38
Metallosphaera tengchongensis,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,55,70,75,975244,44.799730993244054,2176897,RS_GCF_013343295.1,1843266,84.6740107593515,SAMN13893344,China: Yunnan; Tengchong hot spring,hot spring muddy water,none,TRUE,0,Metallosphaera tengchongensis,none,3,47,2335,19,47,99.99,1.2
Methanimicrococcus blatticola,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanimicrococcus,20,39,40,748624,41.98410308264255,1783317,RS_GCF_004363215.1,1447554,81.17199578089594,SAMN08769569,none,none,none,TRUE,0,Methanimicrococcus blatticola,none,3,46,1568,19,46,81.62,0
Methanobacterium aggregans,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,25,40,45,895448,38.14034673739475,2347771,RS_GCF_017874455.1,1914226,81.53376117176676,SAMN18248560,none,none,none,TRUE,0,Methanobacterium aggregans,none,4,42,2250,19,42,99.79,0.22
Methanobacterium alcaliphilum,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,25,37,45,788123,33.395948025709174,2359936,RS_GCF_023227715.1,2027833,85.92745735477573,SAMN27398541,Egypt: Wadi el Natrun,high-pH lake sediment,none,TRUE,0,Methanobacterium alcaliphilum,none,4,40,2348,19,40,99.98,0.35
Methanobacterium arcticum,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,15,37,45,1125199,33.16967607359359,3393923,RS_GCF_000746075.1,2700218,79.56037894790188,SAMN02910397,Russia: Kolyma Lowland,none,none,FALSE,0,Methanobacterium arcticum,3235,6,40,3318,19,40,99.99,2.65
Methanobacterium bryantii,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,25,38,50,1150550,33.1917827583322,3466370,RS_GCF_002287175.1,2743742,79.15317753153876,SAMN04229035,none,none,none,TRUE,0,Methanobacterium bryantii,3266,4,40,3334,19,40,100,4.11
Methanobacterium congolense,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,25,39.5,50,950534,38.4897806302704,2469575,RS_GCF_900095295.1,1994563,80.76543534818744,SAMEA4378819,Germany,biogas sludge,none,TRUE,0,Methanobacterium congolense,2302,10,46,2345,19,46,99.95,0.13
Methanobacterium ferruginis,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,20,40,45,1048261,37.387193152713984,2803797,RS_GCF_030296715.1,2315325,82.57819663834437,SAMD00582126,none,Corroded pipe,none,TRUE,0,Methanobacterium ferruginis,none,6,45,2932,19,44,94.02,3.29
Methanobacterium formicicum,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,37,41,45,1003568,41.37020714207096,2425823,RS_GCF_029848115.1,2040980,84.13556966027612,SAMN34164049,Netherlands: Wageningen,none,none,TRUE,0,Methanobacterium formicicum,none,4,46,2406,19,46,99.96,0.04
Methanobacterium lacus,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,14,30,41,925724,35.82865699623765,2583753,RS_GCF_000191585.1,2162646,83.70173155096482,SAMN02232037,none,not provided; submitted under MIGS 2.1,none,TRUE,0,Methanobacterium lacus,2484,7,42,2522,19,42,99.88,0.22
Methanobacterium paludis,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,16,34.5,40,909924,35.73176320349839,2546541,RS_GCF_000214725.1,2016448,79.18380265623055,SAMN00713630,none,none,none,TRUE,0,Methanobacterium paludis,2388,9,47,2451,19,47,99.94,0.3
Methanobacterium petrolearium,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,20,35,40,932301,37.76715075651698,2468550,RS_GCF_017873625.1,2082374,84.35616049907841,SAMN18250255,Japan: Kagoshima,none,31.59 N 130.56 E,TRUE,0,Methanobacterium petrolearium,none,3,42,2365,19,42,99.63,1
Methanobacterium subterraneum,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,4,30,45,991342,39.4043763914466,2515817,RS_GCF_002813695.1,2086693,82.9429565027981,SAMN05928842,Sweden: Aspo Hard Rock Tunnel Laboratory,groundwater of rock tunnel at 70 m depth,none,TRUE,0,Methanobacterium subterraneum,2406,7,43,2438,19,43,98.19,0.22
Methanobacterium veterum,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,10,28,46,1117755,33.214758192293196,3369555,RS_GCF_000745485.1,2682538,79.61104656252829,SAMN02910304,Russia: Kolyma Lowland,none,none,TRUE,0,Methanobacterium veterum,3208,6,40,3287,19,40,100,2.61
Methanobrevibacter arboriphilus,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,10,33.5,45,613418,25.63094609845688,2393271,RS_GCF_019669925.1,1819968,76.04521176247906,SAMD00171894,Japan:Chikugo; Fukuoka; Kyushu National Agricultural Station,paddy field soil,33.21 N 130.49 E,TRUE,0,Methanobrevibacter arboriphilus,none,7,35,2022,19,35,99.25,0.46
Methanobrevibacter boviskoreani,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,35,38.5,45,574158,29.14744344718353,1969840,RS_GCF_029007355.1,1547652,78.56739633675832,SAMN32899611,Canada: Lacombe,feces,52.4685 N 113.7307 W,FALSE,0,Methanobrevibacter boviskoreani,none,3,34,1709,18,34,99.83,0.42
Methanobrevibacter curvatus,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,10,30,30,620952,25.716493705391276,2414608,RS_GCF_001639295.1,1857310,76.91973189851106,SAMN04867343,none,hindguts,none,TRUE,0,Methanobrevibacter curvatus,1973,4,33,2027,19,33,94.89,0
Methanobrevibacter cuticularis,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,10,37,37,698940,26.792634804588644,2608702,RS_GCF_001639285.1,1885342,72.27126747324915,SAMN04867344,none,hindguts,none,TRUE,0,Methanobrevibacter cuticularis,2065,3,35,2156,19,35,94.69,0.33
Methanobrevibacter filiformis,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,10,30,33.5,703342,26.987861751201585,2606143,RS_GCF_001639265.1,1999209,76.71140839163469,SAMN04867340,none,termite hindguts,none,TRUE,0,Methanobrevibacter filiformis,2002,9,32,2097,19,32,92.85,0
Methanobrevibacter millerae,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,33,39,43,809122,31.81088704002063,2543538,RS_GCF_001477655.1,2252382,88.55310988080383,SAMN03438115,New Zealand: Palmerston North,rumen fluid,14.19 S 175.8 E,TRUE,0,Methanobrevibacter millerae,2272,7,38,2316,19,38,99.99,0.62
Methanobrevibacter olleyae,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,28,38,42,568885,26.807693902632113,2122444,RS_GCF_900114585.1,1625143,76.56941714363253,SAMN02910297,none,none,none,TRUE,0,Methanobrevibacter olleyae,1796,3,32,1827,18,32,99.81,0.5
Methanobrevibacter oralis,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,25,36,39,593114,27.710000733496447,2140433,RS_GCF_001639275.1,1800543,84.12050272071119,SAMN04867341,none,oral cavity,none,TRUE,0,Methanobrevibacter oralis,2017,5,32,2086,19,32,99.84,0.53
Methanocalculus chunghsingensis,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocalculaceae,Methanocalculus,20,37,45,1114672,52.233217074369655,2134545,RS_GCF_018132105.1,1946489,91.18987887348358,SAMN03254652,Taiwan: Eriln Shi; Wong-gong,fishpond sediment sample,none,TRUE,0,Methanocalculus chunghsingensis,none,4,48,2231,19,48,99.5,0.58
Methanocalculus natronophilus,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocalculaceae,Methanocalculus,15,35,45,1030440,51.45192248158009,2003496,RS_GCF_038751955.1,1803545,90.01989522314993,SAMN40528436,none,none,none,TRUE,0,Methanocalculus natronophilus,none,5,46,2151,19,46,99.7,0.38
Methanocalculus taiwanensis,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocalculaceae,Methanocalculus,25,37,42,1180848,50.40684972556533,2342634,RS_GCF_024372745.1,2129825,90.91582381199966,SAMN12512004,Taiwan: an estuary in Erlin Shi,estuary,none,TRUE,0,Methanocalculus taiwanensis,none,5,46,2332,19,46,99.86,0.17
Methanocaldococcus bathoardescens,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,58,82,90,494936,30.78810318271961,1607556,RS_GCF_000739065.1,1442240,89.71631470381125,SAMN02951366,Pacific Ocean,Marker113 at caldera of Axial Seamount,none,TRUE,0,Methanocaldococcus bathoardescens,1653,6,37,1676,19,37,99.92,0.03
Methanocaldococcus fervens,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,48,85,92,485612,32.21838963782409,1507251,RS_GCF_000023985.1,1364416,90.52347618279902,SAMN02598490,none,none,none,TRUE,0,Methanocaldococcus fervens AG86,1595,6,37,1640,19,37,99.87,0.04
Methanocaldococcus infernus,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,49,85,89,446519,33.618507537302534,1328194,RS_GCF_000092305.1,1231613,92.72839660471288,SAMN00017484,none,none,none,TRUE,0,Methanocaldococcus infernus ME,1458,6,38,1474,19,38,99.78,0.05
Methanocaldococcus jannaschii,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,50,85,86,363316,31.04338962138644,1170406,GB_GCA_013329685.1,1048393,89.57515597151757,SAMN13193045,none,none,none,FALSE,0,Methanocaldococcus jannaschii,none,2,27,1246,20,27,67.3,0.41
